PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
1,9,37,0,17,1,2009,11,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.7741020819879427
1,4,2,0,14,0,2009,11,28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.8285005726265742
2,7,45,1,26,0,2009,11,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.853409958727569
2,6,49,1,26,1,2009,11,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.44707270421877765
2,5,23,1,23,0,2009,11,28,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.7924572824845406
2,4,53,0,16,1,2009,11,28,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-3.9617289159110034
2,4,32,0,18,0,2009,11,28,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0149771754427521
2,0,0,0,11,0,2009,11,28,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6609939422655964
3,6,24,1,23,0,2009,11,28,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.1217009951834276
3,3,37,1,26,0,2009,11,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.7995136729592023
4,6,38,0,18,0,2009,11,28,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6274163866060659
4,5,26,0,5,0,2009,11,28,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.24114370382302192
4,1,13,0,17,1,2009,11,28,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-11.451932763636488
1,6,49,0,19,0,2009,11,30,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6755597708099746
3,11,34,1,25,0,2009,11,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.738059109550287
4,1,32,0,20,1,2009,11,30,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9.989676854843681
4,0,18,1,26,1,2009,11,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.40017564451262283
1,10,53,1,24,0,2009,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14.883629999997165
1,9,4,0,18,0,2009,12,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.8094121778847263
1,8,34,0,20,1,2009,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.732957672947326
2,10,21,1,25,0,2009,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4242328734494976
2,0,16,1,25,1,2009,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.29603581525132683
3,8,7,1,24,1,2009,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-3.173559708636823
3,7,46,0,20,0,2009,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.510396502241451
3,3,6,1,25,0,2009,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5433568760942075
3,0,39,0,0,0,2009,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
3,0,5,0,0,0,2009,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
4,5,8,1,24,0,2009,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.611127283240702
4,3,12,0,21,0,2009,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3.8288804990113454
1,11,12,0,16,0,2009,12,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.5423584611056214
1,8,47,1,23,1,2009,12,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.1521261025079768
1,3,37,1,24,0,2009,12,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.927653145366621
3,7,33,1,26,0,2009,12,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.08279124152199586
4,7,17,0,16,1,2009,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.8859548300483657
1,10,46,0,20,1,2009,12,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4196545908325553
1,9,51,0,19,1,2009,12,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-6.010258017407652
1,8,13,0,22,1,2009,12,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.21437968290959267
1,4,46,0,2,1,2009,12,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.1131581564779458
2,10,10,0,16,0,2009,12,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.890293361890772
3,9,35,0,17,0,2009,12,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.5827465235924443
3,0,40,1,23,0,2009,12,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.0380328852845588
3,0,1,0,21,0,2009,12,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3899830451166571
4,11,41,0,1,1,2009,12,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.04202575110717675
4,9,13,1,27,0,2009,12,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.4080554577055504
4,8,25,0,16,0,2009,12,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0801730179771183
1,7,14,0,17,1,2009,12,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,16.755102928747636
1,2,10,1,24,0,2009,12,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36.89996656562341
1,1,53,0,17,1,2009,12,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.9171110010387166
2,10,50,0,0,0,2009,12,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
2,5,1,0,0,1,2009,12,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.00248243569191573
2,4,24,0,0,1,2009,12,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
3,9,59,1,24,1,2009,12,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.3653452947214266
3,0,33,0,23,0,2009,12,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.820917322361123
4,10,55,0,21,1,2009,12,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4304138040415897
4,9,2,0,15,0,2009,12,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.6922545140848717
4,3,55,1,24,1,2009,12,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.8936336871223787
4,3,31,1,24,0,2009,12,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.6431099410896206
4,0,48,0,0,1,2009,12,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
1,11,37,0,0,1,2009,12,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
1,10,30,0,16,1,2009,12,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-4.462900742352807
1,9,40,1,24,0,2009,12,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5502115874535293
1,6,6,0,15,0,2009,12,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.8524759675617426
1,5,32,1,24,0,2009,12,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.325098923660287
1,2,46,1,25,0,2009,12,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.29947308352118
2,9,33,0,0,1,2009,12,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.00248243569191573
2,7,49,1,23,1,2009,12,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.888262788245543
2,5,6,0,21,0,2009,12,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-6.479028687928935
3,10,11,0,0,0,2009,12,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
3,9,7,0,0,1,2009,12,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
